old_id,project_id,perm_id,permittee,projname,status,phase,fy_cat,fy,const_date,inspe_date,wma,apn,lat,long,projtype,pub_priv,owner,hydromod,location,geocode,hydrsize,trmnt_meas,nonlid_mea,sitedesign,perm_area,tot_acres,oi_acres,our_acres,ouc_acres,nu_acres,otheracres,os_acres,pcb_load,hg_load,url,src_cntrl,comments,regulated,overlapped,include,trmnt_cat,check,prm_verify,within
C3_SC_3266,GSI_MIP_0007,1511  BUCKEYE DR MILPITAS CA 95035-7431,Milpitas,1511  BUCKEYE DR MILPITAS CA 95035-7431,Constructed,,Pre-MRP2.0,FY10-11,1/1/2010,1/1/2010,035CTC700,08603025,37.40820000000,-121.91610000000,Parcel-based,Private,,No,1511  Buckeye Dr Milpitas CA 95035-7431,1511  BUCKEYE DR MILPITAS CA 95035-7431,,,,,3.71100000000,3.71142825480,0.00000000000,0.00000000000,0.00000000000,3.71000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,"<a href=""http://eoainc.org/dma/index.php?project_id=GSI_MIP_0007"" target=""_blank"">Click for details</a>",,No treatment according to Milpitas,No,No,No,None,N,Y,Milpitas
,GSI_MIP_0047,Element Hotel,Milpitas,Element Hotel,Planned,,Planned,FY21-22,1/1/2022,,,,37.41428481710,-121.91437533400,Parcel-based,Private,,No,Barber Ln @ Alder Dr,"Barber Ln and  Alder Dr, Milpitas, CA",,,,,0.00000000000,3.58031558482,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,"<a href=""http://eoainc.org/dma/index.php?project_id=GSI_MIP_0047"" target=""_blank"">Click for details</a>",,,Yes,No,Yes,LID,N,Y,Milpitas
,GSI_MIP_0048,McCarthy Creekside Bldg A-F,Milpitas,McCarthy Creekside Bldg A-F,Constructed,,Planned,FY18-19,1/1/2019,,,,37.43647968200,-121.92435375600,Parcel-based,Private,,No,625 N McCarthy Blvd,"625 N McCarthy Blvd, Milpitas, CA",,,,,0.00000000000,38.58369843940,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,"<a href=""http://eoainc.org/dma/index.php?project_id=GSI_MIP_0048"" target=""_blank"">Click for details</a>",,,Yes,No,Yes,LID,N,Y,Milpitas
,GSI_MIP_0049,Sprig Center,Milpitas,Sprig Center,Under Construction,,Planned,FY20-21,1/1/2021,,,,37.45101063620,-121.92377662600,Parcel-based,Private,,No,1585 N McCarthy Blvd,"1585 N McCarthy Blvd, Milpitas, CA",,,,,0.00000000000,8.75537479983,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,"<a href=""http://eoainc.org/dma/index.php?project_id=GSI_MIP_0049"" target=""_blank"">Click for details</a>",,,Yes,No,Yes,LID,N,Y,Milpitas
,GSI_MIP_0050,Senior Lifestyles phase 1,Milpitas,Senior Lifestyles phase 1,Under Construction,,Planned,FY20-21,1/1/2021,,,,37.40876174020,-121.90176364100,Parcel-based,Private,,No,1504-1620 S Main St,"1504 S Main St, Milpitas, CA",,,,,0.00000000000,5.80010238713,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,"<a href=""http://eoainc.org/dma/index.php?project_id=GSI_MIP_0050"" target=""_blank"">Click for details</a>",,,Yes,No,Yes,LID,N,Y,Milpitas
,GSI_MIP_0051,260 S Main St,Milpitas,260 S Main St,Under Construction,,Planned,FY20-21,1/1/2021,,,,37.42685850370,-121.90531946300,Parcel-based,Private,,No,260 S Main St,"260 S Main St, Milpitas, CA",,,,,0.00000000000,1.19606076524,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,"<a href=""http://eoainc.org/dma/index.php?project_id=GSI_MIP_0051"" target=""_blank"">Click for details</a>",,,Yes,No,Yes,LID,N,Y,Milpitas
,GSI_MIP_0052,124-166 S Main St,Milpitas,124-166 S Main St,Planned,,Planned,FY21-22,1/1/2022,,,,37.42885433550,-121.90586339900,Parcel-based,Private,,No,124-166 S Main St,"124 S Main St, Milpitas, CA",,,,,0.00000000000,0.38901084822,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,"<a href=""http://eoainc.org/dma/index.php?project_id=GSI_MIP_0052"" target=""_blank"">Click for details</a>",,,Yes,No,Yes,LID,N,Y,Milpitas
,GSI_MIP_0053,Springhill Suites Hotel,Milpitas,Springhill Suites Hotel,Under Construction,,Planned,FY20-21,1/1/2021,,,,37.44586807430,-121.91991077900,Parcel-based,Private,,No,1201 Cadillac Ct,"1201 Cadillac Ct, Milpitas, CA",,,,,0.00000000000,2.99710736358,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,"<a href=""http://eoainc.org/dma/index.php?project_id=GSI_MIP_0053"" target=""_blank"">Click for details</a>",,,Yes,No,Yes,LID,N,Y,Milpitas
,GSI_MIP_0054,1980 Tarob Ct,Milpitas,1980 Tarob Ct,Under Construction,,Planned,FY20-21,1/1/2021,,,,37.40628926670,-121.89086265900,Parcel-based,Private,,No,1980 Tarob Ct,"1980 Tarob Ct, Milpitas, CA",,,,,0.00000000000,2.61361452762,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,"<a href=""http://eoainc.org/dma/index.php?project_id=GSI_MIP_0054"" target=""_blank"">Click for details</a>",,,Yes,No,Yes,LID,N,Y,Milpitas
,GSI_MIP_0055,1992 Tarob Ct,Milpitas,1992 Tarob Ct,Planned,,Planned,FY21-22,1/1/2022,,,,37.40517581970,-121.89064797000,Parcel-based,Private,,No,1992 Tarob Ct,"1992 Tarob Ct, Milpitas, CA",,,,,0.00000000000,2.32838385545,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,"<a href=""http://eoainc.org/dma/index.php?project_id=GSI_MIP_0055"" target=""_blank"">Click for details</a>",,,Yes,No,Yes,LID,N,Y,Milpitas
